# colorthief-dataset — the permanent color-id ledger.
#
# THIS FILE IS THE AUTHORITY FOR `ColorId`. `cargo run --release -p xtask
# -- codegen` reads it, mints ids for any new `color_hierarchy.csv` row,
# rewrites it, and emits the ids into `src/generated.rs`, where they are
# part of the crate's PUBLIC API. Downstream stores the id and looks the
# row back up; a renumbering silently repoints stored data at the wrong
# color.
#
# The id discipline — these ids are PERMANENT:
#
#   * An id is assigned once and NEVER changes. Correcting an entry's
#     name, design/common columns, rgb, hex, family or kind KEEPS its id.
#   * A deleted entry's id is NEVER reused. Its row stays here, retired,
#     so the mint can never hand the number out again. If that same
#     color later returns, recovering its own id is correct — but
#     codegen cannot tell it from a DIFFERENT color arriving under a
#     name some earlier entry used to hold, so it refuses either way
#     until you pass --allow-revival to say which it is.
#   * A new entry mints a fresh id: the high-water mark plus one. Ids
#     start at 1 — 0 is never assigned, so a zeroed id is always
#     detectably invalid.
#
# EVERY ROW HERE IS LOAD-BEARING, retired ones included. A retired row
# is the only record that its number was ever handed out; delete it and
# the next mint can hand the same number to a different color. Rows are
# only ever added or edited in place — never removed, never renumbered,
# and the file is never regenerated from scratch. `tests/ids.rs` pins
# every row, retired ones included, and CI re-runs codegen and fails on
# any drift in this file.
#
# The `retired` column is the row's liveness as of THIS commit, and it
# is load-bearing too: it is the only record of which names were live
# last time. The generator reads it to tell a retirement that happened
# in the run it is executing from one that happened revisions ago, and
# to notice a surviving name landing on a tombstone. Flipping it by
# hand re-arms or disarms those gates — leave it to the generator.
#
# `xkcd_color` is the join key the generator matches CSV rows on, so
# renaming an entry upstream is a CORRECTION, not a delete-and-insert:
# edit the name in place HERE, keeping its id, in the same commit that
# changes `color_hierarchy.csv`. Dropping the row instead would give the
# color an id it did not hold before — a freshly minted one, or a
# retired one if the new name is already here as a tombstone — and break
# every id already stored downstream. Codegen cannot tell a rename from
# a delete-and-insert, so it refuses any run that retires a name live
# last run while some other name picks up an id it did not hold, until
# you either fix the name in place or pass --allow-retire-and-mint to
# confirm the events are unrelated.
id,xkcd_color,retired
526,lightish green,false
527,lightish purple,false
528,lightish red,false
529,lilac,false
530,liliac,false
531,lime,false
532,lime green,false
533,lime yellow,false
534,lipstick,false
535,lipstick red,false
536,macaroni and cheese,false
537,magenta,false
538,mahogany,false
539,maize,false
540,mango,false
541,manilla,false
542,marigold,false
543,marine,false
544,marine blue,false
545,maroon,false
546,mauve,false
547,medium blue,false
548,medium brown,false
549,medium green,false
550,medium grey,false
551,medium pink,false
552,medium purple,false
553,melon,false
554,merlot,false
555,metallic blue,false
556,mid blue,false
557,mid green,false
558,midnight,false
559,midnight blue,false
560,midnight purple,false
561,military green,false
562,milk chocolate,false
563,mint,false
564,mint green,false
565,minty green,false
566,mocha,false
567,moss,false
568,moss green,false
569,mossy green,false
570,mud,false
571,mud brown,false
572,mud green,false
573,muddy brown,false
574,muddy green,false
575,muddy yellow,false
576,mulberry,false
577,murky green,false
578,mushroom,false
579,mustard,false
580,mustard brown,false
581,mustard green,false
582,mustard yellow,false
583,muted blue,false
584,muted green,false
585,muted pink,false
586,muted purple,false
587,nasty green,false
588,navy,false
589,navy blue,false
590,navy green,false
591,neon blue,false
592,neon green,false
593,neon pink,false
594,neon purple,false
595,neon red,false
596,neon yellow,false
597,nice blue,false
598,night blue,false
599,ocean,false
600,ocean blue,false
601,ocean green,false
602,ocher,false
603,ochre,false
604,ocre,false
605,off blue,false
606,off green,false
607,off white,false
608,off yellow,false
609,old pink,false
610,old rose,false
611,olive,false
612,olive brown,false
613,olive drab,false
614,olive green,false
615,olive yellow,false
616,orange,false
617,orange brown,false
618,orange pink,false
619,orange red,false
620,orange yellow,false
621,orangeish,false
622,orangered,false
623,orangey brown,false
624,orangey red,false
625,orangey yellow,false
626,orangish,false
627,orangish brown,false
628,orangish red,false
629,orchid,false
630,pale,false
631,pale aqua,false
632,pale blue,false
633,pale brown,false
634,pale cyan,false
635,pale gold,false
636,pale green,false
637,pale grey,false
638,pale lavender,false
639,pale light green,false
640,pale lilac,false
641,pale lime,false
642,pale lime green,false
643,pale magenta,false
644,pale mauve,false
645,pale olive,false
646,pale olive green,false
647,pale orange,false
648,pale peach,false
649,pale pink,false
650,pale purple,false
651,pale red,false
652,pale rose,false
653,pale salmon,false
654,pale sky blue,false
655,pale teal,false
656,pale turquoise,false
657,pale violet,false
658,pale yellow,false
659,parchment,false
660,pastel blue,false
661,pastel green,false
662,pastel orange,false
663,pastel pink,false
664,pastel purple,false
665,pastel red,false
666,pastel yellow,false
667,pea,false
668,pea green,false
669,pea soup,false
670,pea soup green,false
671,peach,false
672,peachy pink,false
673,peacock blue,false
674,pear,false
675,periwinkle,false
676,periwinkle blue,false
677,perrywinkle,false
678,petrol,false
679,pig pink,false
680,pine,false
681,pine green,false
682,pink,false
683,pink purple,false
684,pink red,false
685,pink/purple,false
686,pinkish,false
687,pinkish brown,false
688,pinkish grey,false
689,pinkish orange,false
690,pinkish purple,false
691,pinkish red,false
692,pinkish tan,false
693,pinky,false
694,pinky purple,false
695,pinky red,false
696,piss yellow,false
697,pistachio,false
698,plum,false
699,plum purple,false
700,poison green,false
701,poo,false
702,poo brown,false
703,poop,false
704,poop brown,false
705,poop green,false
706,powder blue,false
707,powder pink,false
708,primary blue,false
709,prussian blue,false
710,puce,false
711,puke,false
712,puke brown,false
713,puke green,false
714,puke yellow,false
715,pumpkin,false
716,pumpkin orange,false
717,pure blue,false
718,purple,false
719,purple blue,false
720,purple brown,false
721,purple grey,false
722,purple pink,false
723,purple red,false
724,purple/blue,false
725,purple/pink,false
726,purpleish,false
727,purpleish blue,false
728,purpleish pink,false
729,purpley,false
730,purpley blue,false
731,purpley grey,false
732,purpley pink,false
733,purplish,false
734,purplish blue,false
735,purplish brown,false
736,purplish grey,false
737,purplish pink,false
738,purplish red,false
739,purply,false
740,purply blue,false
741,purply pink,false
742,putty,false
743,racing green,false
744,radioactive green,false
745,raspberry,false
746,raw sienna,false
747,raw umber,false
748,really light blue,false
749,red,false
750,red brown,false
751,red orange,false
752,red pink,false
753,red purple,false
754,red violet,false
755,red wine,false
756,reddish,false
757,reddish brown,false
758,reddish grey,false
759,reddish orange,false
760,reddish pink,false
761,reddish purple,false
762,reddy brown,false
763,rich blue,false
764,rich purple,false
765,robin egg blue,false
766,robin's egg,false
767,robin's egg blue,false
768,rosa,false
769,rose,false
770,rose pink,false
771,rose red,false
772,rosy pink,false
773,rouge,false
774,royal,false
775,royal blue,false
776,royal purple,false
777,ruby,false
778,russet,false
779,rust,false
780,rust brown,false
781,rust orange,false
782,rust red,false
783,rusty orange,false
784,rusty red,false
785,saffron,false
786,sage,false
787,sage green,false
788,salmon,false
789,salmon pink,false
790,sand,false
791,sand brown,false
792,sand yellow,false
793,sandstone,false
794,sandy,false
795,sandy brown,false
796,sandy yellow,false
797,sap green,false
798,sapphire,false
799,scarlet,false
800,sea,false
801,sea blue,false
802,sea green,false
803,seafoam,false
804,seafoam blue,false
805,seafoam green,false
806,seaweed,false
807,seaweed green,false
808,sepia,false
809,shamrock,false
810,shamrock green,false
811,shit,false
812,shit brown,false
813,shit green,false
814,shocking pink,false
815,sick green,false
816,sickly green,false
817,sickly yellow,false
818,sienna,false
819,silver,false
820,sky,false
821,sky blue,false
822,slate,false
823,slate blue,false
824,slate green,false
825,slate grey,false
826,slime green,false
827,snot,false
828,snot green,false
829,soft blue,false
830,soft green,false
831,soft pink,false
832,soft purple,false
833,spearmint,false
834,spring green,false
835,spruce,false
836,squash,false
837,steel,false
838,steel blue,false
839,steel grey,false
840,stone,false
841,stormy blue,false
842,straw,false
843,strawberry,false
844,strong blue,false
845,strong pink,false
846,sun yellow,false
847,sunflower,false
848,sunflower yellow,false
849,sunny yellow,false
850,sunshine yellow,false
851,swamp,false
852,swamp green,false
853,tan,false
854,tan brown,false
855,tan green,false
856,tangerine,false
857,taupe,false
858,tea,false
859,tea green,false
860,teal,false
861,teal blue,false
862,teal green,false
863,tealish,false
864,tealish green,false
865,terra cotta,false
866,terracota,false
867,terracotta,false
868,tiffany blue,false
869,tomato,false
870,tomato red,false
871,topaz,false
872,toupe,false
873,toxic green,false
874,tree green,false
875,true blue,false
876,true green,false
877,turquoise,false
878,turquoise blue,false
879,turquoise green,false
880,turtle green,false
881,twilight,false
882,twilight blue,false
883,ugly blue,false
884,ugly brown,false
885,ugly green,false
886,ugly pink,false
887,ugly purple,false
888,ugly yellow,false
889,ultramarine,false
890,ultramarine blue,false
891,umber,false
892,velvet,false
893,vermillion,false
894,very dark blue,false
895,very dark brown,false
896,very dark green,false
897,very dark purple,false
898,very light blue,false
899,very light brown,false
900,very light green,false
901,very light pink,false
902,very light purple,false
903,very pale blue,false
904,very pale green,false
905,vibrant blue,false
906,vibrant green,false
907,vibrant purple,false
908,violet,false
909,violet blue,false
910,violet pink,false
911,violet red,false
912,viridian,false
913,vivid blue,false
914,vivid green,false
915,vivid purple,false
916,vomit,false
917,vomit green,false
918,vomit yellow,false
919,warm blue,false
920,warm brown,false
921,warm grey,false
922,warm pink,false
923,warm purple,false
924,washed out green,false
925,water blue,false
926,watermelon,false
927,weird green,false
928,wheat,false
929,white,false
930,windows blue,false
931,wine,false
932,wine red,false
933,wintergreen,false
934,wisteria,false
935,yellow,false
936,yellow brown,false
937,yellow green,false
938,yellow ochre,false
939,yellow orange,false
940,yellow tan,false
941,yellow/green,false
942,yellowgreen,false
943,yellowish,false
944,yellowish brown,false
945,yellowish green,false
946,yellowish orange,false
947,yellowish tan,false
948,yellowy brown,false
949,yellowy green,false
